# === Training Log ===

## METADATA (JSON)
{
  "model_class": "Model",
  "model_module": "__main__",
  "model_str": "Model(\n  (net): Sequential(\n    (0): Linear(in_features=2, out_features=5, bias=True)\n    (1): Tanh()\n    (2): Linear(in_features=5, out_features=5, bias=True)\n    (3): Tanh()\n    (4): Linear(in_features=5, out_features=1, bias=True)\n  )\n)",
  "num_parameters": 51,
  "num_trainable_parameters": 51,
  "optimizer_class": "Adam",
  "optimizer_module": "torch.optim.adam",
  "optimizer_params": {
    "amsgrad": false,
    "betas": [
      0.9,
      0.999
    ],
    "capturable": false,
    "decoupled_weight_decay": false,
    "differentiable": false,
    "eps": 1e-08,
    "foreach": null,
    "fused": null,
    "lr": 0.001,
    "maximize": false,
    "weight_decay": 1e-06
  },
  "stopped": false
}

## BEGIN TRAIN DATA
       iteration            loss        residual        boundary         initial   observational             mse             mae
    1.550000e+02    1.306748e-03    1.170612e-03    6.942296e-05    0.000000e+00    6.671237e-05    1.463270e-04    9.903467e-03
    1.560000e+02    1.297041e-03    1.179559e-03    5.354212e-05    0.000000e+00    6.393951e-05    5.986499e-05    5.444746e-03
    1.570000e+02    1.336931e-03    1.181048e-03    8.174352e-05    0.000000e+00    7.413879e-05    6.755804e-05    5.675343e-03
    1.580000e+02    1.235278e-03    1.125148e-03    5.169171e-05    0.000000e+00    5.843814e-05    5.689682e-05    5.333170e-03
    1.590000e+02    1.234811e-03    1.118681e-03    5.710175e-05    0.000000e+00    5.902845e-05    1.384481e-04    9.184378e-03
    1.600000e+02    1.174044e-03    1.067463e-03    4.880992e-05    0.000000e+00    5.777130e-05    4.619022e-05    4.801688e-03
    1.610000e+02    1.226795e-03    1.103716e-03    6.100268e-05    0.000000e+00    6.207643e-05    4.734034e-05    4.911533e-03
    1.620000e+02    1.313612e-03    1.173831e-03    7.465543e-05    0.000000e+00    6.512563e-05    6.443117e-05    5.328491e-03
    1.630000e+02    1.180729e-03    1.068421e-03    5.414976e-05    0.000000e+00    5.815782e-05    4.794805e-05    5.682985e-03
    1.640000e+02    1.207771e-03    1.091472e-03    5.543916e-05    0.000000e+00    6.085968e-05    4.564275e-05    5.665452e-03
    1.650000e+02    1.187232e-03    1.076589e-03    5.423281e-05    0.000000e+00    5.641087e-05    4.431646e-05    4.673554e-03
    1.660000e+02    1.130235e-03    1.031293e-03    4.320300e-05    0.000000e+00    5.573892e-05    5.454120e-05    5.128801e-03
